,Out Datetime,In Datetime,Name,Voltage(kV),LineType,GenFlag,Length(miles),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,District,OutageID
5020,09/16/1999 11:13,09/16/1999 15:45,Bayshore-Benson section of Shelton-Kitsap No 2 115kV line,115.0,S, ,6.20,272,Plan,Maintenance,,OLY,117770
5021,09/16/1999 11:13,09/16/1999 15:45,Shelton-Kitsap No 2 115kV line,115.0,L,G,30.34,272,Plan,Maintenance,,OLY,117770
5022,09/16/1999 12:46,09/16/1999 14:49,Noxon-Camp section of Noxon-Hot Springs No 1 230kV line,230.0,S, ,0.20,123,Plan,Foreign Request,,KAL,117771
5023,09/16/1999 12:46,09/16/1999 14:49,Noxon-Hot Springs No 1 230kV line,230.0,L,G,68.28,123,Plan,Foreign Request,,KAL,117771
5024,09/16/1999 13:09,09/16/1999 13:22,Ross-Lexington No 1 230kV line,230.0,L, ,41.21,13,Plan,Foreign Request,,LGV,117772
5025,09/16/1999 13:09,09/16/1999 13:22,Ross-Woodland section of Ross-Lexington No 1 230kV line,230.0,S,G,19.85,13,Plan,Foreign Request,,LGV,117772
5026,09/16/1999 13:09,09/16/1999 13:22,Swift tap to Ross-Lexington No 1 230kV line,230.0,T,G,26.06,13,Plan,Foreign Request,,LGV,117772
5027,09/16/1999 13:09,09/16/1999 13:22,Woodland-Lexington section of Ross-Lexington No 1 230kV line,230.0,S,G,21.36,13,Plan,Foreign Request,,LGV,117772
5028,09/16/1999 15:38,09/16/1999 15:54,Lower Monumental PH-Lower Monumental No 1 500kV line,500.0,L, ,0.97,16,Plan,Foreign Request,,TRI,117773
5029,09/16/1999 16:21,09/16/1999 16:24,McNary PH-McNary No 6 115kV line,115.0,L, ,1.39,3,Plan,Foreign Request,,TRI,117774
5030,09/17/1999 01:01,09/17/1999 01:22,Diamond Lake-Albeni Falls section of Sacheen-Albeni Falls No 1 115kV line,115.0,S, ,8.20,21,Auto,Foreign Trouble,Foreign Trouble,SPK,117775
5031,09/17/1999 01:01,09/17/1999 01:22,Sacheen-Albeni Falls No 1 115kV line,115.0,L,G,13.72,21,Auto,Foreign Trouble,Foreign Trouble,SPK,117775
5032,09/17/1999 01:01,09/17/1999 01:21,Albeni Falls-Priest River AVA section of Albeni Falls-Sand Creek No 1 115kV line,115.0,S, ,4.43,20,Auto,Foreign Trouble,Foreign Trouble,SPK,117776
5033,09/17/1999 01:01,09/17/1999 01:21,Albeni Falls-Sand Creek No 1 115kV line,115.0,L,G,29.67,20,Auto,Foreign Trouble,Foreign Trouble,SPK,117776
5034,09/17/1999 01:01,09/17/1999 01:26,Albeni Falls-Newport section of Albeni Falls-Pine Street No 1 115kV line,115.0,S, ,2.11,25,Auto,Foreign Trouble,Foreign Trouble,SPK,117777
5035,09/17/1999 01:01,09/17/1999 01:26,Albeni Falls-Pine Street No 1 115kV line,115.0,L,G,2.27,25,Auto,Foreign Trouble,Foreign Trouble,SPK,117777
