,Out Datetime,In Datetime,Name,Voltage(kV),Duration(minutes),OutageType,Dispatcher Cause,Field Cause,System In Control,MW Intrpt,District,OutageID
367,03/23/1999 06:32,03/23/1999 06:32,Nehalem: Tillamook PUD 115kV Feeder 1 by PacifiCorp (PACW),115.0,0,Auto,Foreign Trouble,,Transferor Trouble,Unknown,SAL,114842
368,03/23/1999 07:24,03/23/1999 11:07,First Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,223,Plan,Maintenance,,BPA Request,None,IDF,114843
369,03/23/1999 07:24,03/23/1999 11:07,Second Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,223,Plan,Maintenance,,BPA Request,None,IDF,114844
370,03/23/1999 07:24,03/23/1999 11:07,Third Lift: South Side Elec 34.5kV Feeder 1 by USBR GENERAL,34.5,223,Plan,Maintenance,,BPA Request,None,IDF,114845
371,03/23/1999 10:02,03/23/1999 12:00,White Swan: Benton REA 12.5kV Feeder 1 by PacifiCorp (PACW),12.5,118,Plan,Maintenance,,BPA Request,Unknown,TRI,114846
372,03/24/1999 08:02,03/24/1999 13:45,Idahome: Raft River Elec 34.5kV Feeder 1,34.5,343,Plan,Maintenance,,BPA Request,Unknown,IDF,114855
373,03/24/1999 13:45,03/25/1999 09:30,Idahome: Raft River Elec 34.5kV Feeder 1,34.5,1185,Plan,Foreign Request,,Customer Request,Unknown,IDF,114856
374,03/24/1999 16:50,03/24/1999 16:50,Targhee: Fall River E Coop 115kV Feeder 1,115.0,0,Auto,Unknown,,Unknown Trouble,Unknown,IDF,114857
375,03/24/1999 16:50,03/24/1999 16:50,Targhee: Fall River E Coop 46kV Feeder N,46.0,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,IDF,114858
376,03/24/1999 16:50,03/24/1999 16:50,Victor FREC: Fall River E Coop 115kV Feeder 1,115.0,0,Auto,Unknown,Unknown,Unknown Trouble,Unknown,IDF,114859
377,03/25/1999 07:01,03/25/1999 10:09,Newcomb: South Side Elec 12.5kV Feeder 1,12.5,188,Plan,Maintenance,,BPA Request,None,IDF,114875
378,03/25/1999 19:18,03/25/1999 19:18,Lodholm: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,0,Auto,Foreign Trouble,,Transferor Trouble,Unknown,COV,114876
379,03/25/1999 19:18,03/25/1999 21:02,Lake Bay: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,104,Auto,Foreign Trouble,,Transferor Trouble,Unknown,COV,114877
380,03/25/1999 19:18,03/25/1999 21:02,Vaughn: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,104,Auto,Foreign Trouble,,Transferor Trouble,Unknown,COV,114878
381,03/25/1999 19:18,03/25/1999 19:18,Narrows: Peninsula L Co 12.5kV Feeder 1 by Tacoma Power,12.5,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,COV,114879
382,03/25/1999 19:18,03/25/1999 19:18,Artondale: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,COV,114880
383,03/25/1999 19:18,03/25/1999 19:18,Gig Harbor: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,COV,114881
384,03/25/1999 19:18,03/25/1999 19:18,Purdy: Peninsula L Co 115kV Feeder 1 by Tacoma Power,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,Unknown,COV,114882
385,03/25/1999 20:06,03/26/1999 17:18,Vansycle Ridge Wind Generating Plant: ESI Vansycle Part 69kV Feeder 1,69.0,1272,Auto,Foreign Trouble,,Customer Trouble,21,TRI,114890
386,03/26/1999 09:03,03/26/1999 10:53,Kalispell: Flathead E Coop 34.5kV Feeder 4,34.5,110,Plan,Foreign Request,,Customer Request,6,KAL,114891
387,03/26/1999 09:03,03/26/1999 10:53,Kalispell: Flathead E Coop 34.5kV Feeder 5,34.5,110,Plan,Foreign Request,,Customer Request,6,KAL,114892
388,03/26/1999 10:02,03/26/1999 11:37,Rattlesnake BREA: Benton REA 115kV Feeder 1,115.0,95,Plan,Maintenance,,BPA Request,None,TRI,114893
389,03/26/1999 14:32,03/26/1999 14:37,Goldendale: Klickitat Co PUD 69kV Feeder 1,69.0,5,Auto,Imp Install/Design/Applica,Imp Install/Design/Applica,BPA Trouble,10,TDA,114894
390,03/27/1999 07:34,03/27/1999 07:39,Valhalla: Alcoa 13.8kV Feeder 1,13.8,5,Auto,Foreign Trouble,,Customer Trouble,82,WEN,114901
391,03/27/1999 21:14,03/28/1999 01:35,Sappho: Clallam Co PUD 69kV Feeder 1,69.0,261,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,Unknown,OLY,114902
392,03/28/1999 10:26,03/28/1999 10:26,Fairmount: Clallam Co PUD 69kV Feeder 1,69.0,0,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,13,OLY,114906
393,03/28/1999 17:08,03/28/1999 17:08,Rainier: Columbia Rivr PUD 12.5kV Feeder 1 by Clatskanie PUD,12.5,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,2,LGV,114907
394,03/28/1999 17:08,03/28/1999 17:08,Rainier: Portland Gen Elec 115kV Feeder 1,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,6,LGV,114908
395,03/28/1999 17:08,03/28/1999 17:08,Goble: Columbia Rivr PUD 115kV Feeder 1,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Other Customer Trouble,2,LGV,114909
396,03/28/1999 17:11,03/28/1999 17:11,Goble: Columbia Rivr PUD 115kV Feeder 1,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Other Customer Trouble,2,LGV,114910
397,03/28/1999 17:11,03/28/1999 17:11,Rainier: Portland Gen Elec 115kV Feeder 1,115.0,0,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,6,LGV,114911
398,03/28/1999 17:11,03/28/1999 17:11,Rainier: Columbia Rivr PUD 12.5kV Feeder 1 by Clatskanie PUD,12.5,0,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,2,LGV,114912
399,03/28/1999 17:15,03/28/1999 23:04,Rainier: Columbia Rivr PUD 12.5kV Feeder 1 by Clatskanie PUD,12.5,349,Auto,Foreign Trouble,Foreign Trouble,Transferor Trouble,4,LGV,114913
400,03/28/1999 17:15,03/28/1999 23:04,Rainier: Portland Gen Elec 115kV Feeder 1,115.0,349,Auto,Foreign Trouble,Foreign Trouble,Customer Trouble,6,LGV,114914
401,03/28/1999 17:15,03/28/1999 17:54,Goble: Columbia Rivr PUD 115kV Feeder 1,115.0,39,Auto,Foreign Trouble,Foreign Trouble,Other Customer Trouble,2,LGV,114915
402,03/29/1999 10:44,04/01/1999 14:17,Creston: Inland P+L 34.5kV Feeder 1,34.5,4533,Plan,Maintenance,,BPA Request,None,SPK,114923
403,03/29/1999 10:44,04/01/1999 14:17,Creston: Inland P+L 12.5kV Feeder 1,12.5,4533,Plan,Maintenance,,BPA Request,None,SPK,114924
404,03/29/1999 17:05,03/29/1999 17:05,Grand Coulee #2 Metering Point: Grant Co PUD 115kV Feeder 1,115.0,0,Auto,Unknown,,BPA Trouble,Unknown,SPK,114925
405,03/29/1999 17:05,03/29/1999 17:05,Larene: Inland P+L 12.5kV Feeder 1,12.5,0,Auto,Unknown,Unknown,BPA Trouble,Unknown,SPK,114926
406,03/29/1999 17:05,03/29/1999 17:05,Springhill: Inland P+L 115kV Feeder 1,115.0,0,Auto,Unknown,,BPA Trouble,Unknown,SPK,114927
